id,session,type,title,discord-channel,url-ieeevr-explore
1319,13,Conference,A compact photochromic occlusion capable see-through display with holographic lenses., ,
1042,14,Conference,Realistic Defocus Blur for Multiplane Computer-Generated Holography, ,
1355,14,Journal,Shadowless Projection Mapping using Retrotransmissive Optics, ,
1900,14,Journal,Off-Axis Layered Displays: Hybrid Direct-View/Near-Eye Mixed Reality with Focus Cues, ,
1026,14,Journal,Perceptually-guided dual-mode virtual reality system for motion-adaptive display, ,
1032,14,Journal,Dynamic Redirection for VR Haptics with a Handheld Stick, ,
1607,15,Conference,Exploring 3D Interaction with Gaze Guidance in Augmented Reality, ,
1193,15,Conference,A Large-Scale Study of Proxemics and Gaze in Groups, ,
1770,15,Conference,Exploring Enhancements towards Gaze Oriented Parallel Views in Immersive Tasks, ,
1090,15,Conference,MoPeDT: A Modular Head-Mounted Display Toolkit to Conduct Peripheral Vision Research, ,
1270,15,Journal,Leveling the Playing Field: A Comparative Reevaluation of Unmodified Eye-Tracking as an Input and Interaction Modality for VR, ,
1491,16,Conference,Investigating Noticeable Hand Redirection in Virtual Reality using Physiological and Interaction Data, ,
1926,16,Conference,"Persuasive vibrations : Effects of Speech-Based Vibrations on  Persuasion, Leadership, and Co-Presence During Verbal Communication in VR", ,
1310,16,Conference,A Haptic Stimulation-Based Training Method to Improve the Quality of Motor Imagery EEG Signal in VR, ,
1182,16,Conference,RemoteTouch: Enhancing Immersive 3D Video Communication with Hand Touch, ,
1987,16,Conference,CoboDeck: A Large-Scale Haptic VR System Using a Collaborative Mobile Robot, ,
1320,17,Conference,Toward Intuitive Acquisition of Fully Occluded VR Objects Through Direct Grab From a Disocclusion Mini-map, ,
1198,17,Conference,Measuring the Effect of Stereo Deficiencies on Peripersonal Space Pointing, ,
1180,17,Conference,AR Interfaces for Disocclusion--A Comparative Study, ,
1152,17,Conference,Warpy: Contextual and Multi-view Indirect 3D Curve Sketching in Augmented Reality, ,
1737,17,Conference,How Do I Get There? Overcoming Reachability Limitations of Constrained Industrial Environments in Augmented Reality Applications, ,
2104,18,Conference,Examining the Fine Motor Control Ability of Linear Hand Movement in Virtual Reality, ,
1678,18,Conference,Exploring the Effects of Augmented Reality Notification Type and Placement in AR HMD while Walking, ,
1525,18,Journal,Evaluating Augmented Reality Landmark Cues and Frame of Reference Displays with Virtual Reality, ,
1238,18,Journal,A Lack of Restraint: Comparing Virtual Reality Interaction Techniques for Constrained Transport Seating, ,
1504,18,Journal,Improving the Effectiveness of Near-field Augmented Reality Interactions By Avatarizing Users&#39; End Effectors, ,
1117,19,Conference,Real-Time Recognition of In-Place Body Actions and Head Gestures using Only a Head-Mounted Display, ,
1646,19,Journal,Skeleton-based Human Action Recognition via Large-kernel Attention Graph Convolutional Network , ,
1652,19,Journal,GestureSurface: VR sketching through assembling scaffold surface with non dominant hand, ,
1562,19,Journal,Comparing Different Grasping Visualizations for Object Manipulation in VR using Controllers, ,
10,19,Invited Journal,Kine-Appendage: Enhancing Freehand VR Interaction Through Transformations of Virtual Appendages, ,
1701,20,Conference,Remapping Control in VR for Patients with AMD, ,
1647,20,Conference,Design and Development of a Mixed Reality Acupuncture Training System, ,
1571,20,Journal,Evaluation of AR visualization approaches for catheter insertion into the ventricle cavity, ,
1286,20,Journal,A Video-Based Augmented Reality System for Human-in-the-Loop Muscle Strength Assessment of Juvenile Dermatomyositis, ,
1729,20,Journal,CardioGenesis4D: Interactive Morphological Transitions of Embryonic Heart Development in a Virtual Learning Environment, ,
1612,21,Conference,Empirically Evaluating the Effects of Eye Height and Self-Avatars on Dynamic Passability Affordances in Virtual Reality, ,
1447,21,Conference,"A study of the influence of AR on the perception, comprehension and projection levels of situation awareness", ,
1503,21,Conference,Manipulation of Motion Parallax Gain Distorts Perceived Distance and Object Depth in Virtual Reality, ,
1505,21,Journal,How End-effector Representations Affect the Perceptions of Dynamic Affordances in Virtual Reality, ,
1492,21,Journal,Inward VR: Toward a Qualitative Method for Investigating Interoceptive Awareness in VR, ,
1648,22,Journal,Body and Time: Virtual Embodiment and its effect on Time Perception, ,
1695,22,Journal,Comparing the Effects of Visual Realism on Size Perception in VR versus Real World Viewing through Physical and Verbal Judgments, ,
1610,22,Journal,Can I Squeeze Through? Effects of Self-Avatars and Calibration in a Person-Plus-Virtual-Object System on Perceived Lateral Passability in VR, ,
1053,22,Journal,A Study of Change Blindness in Immersive Environments, ,
1483,22,Journal,Exploring Plausibility and Presence in Mixed Reality Experiences, ,
1655,23,Conference,"Virtual reality in supporting charitable giving: The role of vicarious experience, existential guilt, and need for stimulation", ,
1187,23,Conference,Continuous VR Weight Illusion by Combining Adaptive Trigger Resistance and Control-Display Ratio Manipulation, ,
1255,23,Journal,Measuring Interpersonal Trust towards Virtual Humans with a Virtual Maze Paradigm, ,
1164,23,Journal,The Dating Metaverse: Why We Need to Design Consent in Social VR, ,
5,23,Invited Journal,Role-Exchange Playing: An Exploration of Role-Playing Effects for Anti-Bullying in Immersive Virtual Environments, ,
1384,24,Conference,Investigating Spatial Representation of Learning Content in Virtual Reality Learning Environments, ,
1938,24,Conference,Virtual Optical Bench: Teaching Spherical Lens Layout in VR with Real-Time Ray Tracing, ,
1550,24,Journal,How to maximise Spatial Presence: Design Guidelines for a Virtual Learning Environment for school use, ,
1066,24,Journal,ImTooth: Neural Implicit Tooth for Dental Augmented Reality, ,
3,24,Invited Journal,MD-Cave: An Immersive Visualization Workbench for Radiologists, ,
1016,25,Journal,GroundFlow: Liquid-based Haptics for Simulating Fluid on the Ground in Virtual Reality, ,
1271,25,Conference,Wind comfort and emotion can change by the cross-modal presentation of audio-visual stimuli of indoor and outdoor environments, ,
1289,25,Journal,"Eat, Smell, See: Investigating Cross-Modal Correspondence when Eating in VR", ,
1379,25,Journal,Modified Egocentric Viewpoint for Softer Seated Experience in Virtual Reality, ,
1511,25,Journal,Upper Body Thermal Referral and Tactile Masking for Localized Feedback, ,
1680,26,Journal,"The Impact of Avatar and Environment Congruence on Plausibility, Embodiment, Presence, and the Proteus Effect in Virtual Reality", ,
1079,26,Journal,A Systematic Review on the Visualization of Avatars and Agents in AR & VR, ,
1812,26,Conference,Volumetric Avatar Reconstruction with Spatio-Temporally Offset RGBD Cameras,,
1833,26,Journal,"Effects of the Visual Fidelity of Virtual Environments on Presence, Context-dependent Forgetting, and Source-monitoring Error",,
2,26,Invited Journal,Analysis of the Saliency of Color-Based Dichoptic Cues in Optical See-Through Augmented Reality,,
1156,27,Conference,Locomotion-aware Foveated Rendering,,
1826,27,Conference,Power, Performance, and Image Quality Tradeoffs in Foveated Rendering,,
1322,27,Journal,Privacy-preserving datasets of eye-tracking samples with applications in XR,,
1,27,Invited Journal,Analyzing the Effect of Diverse Gaze and Head Direction on Facial Expression Recognition with Photo-Reflective Sensors Embedded in a Head-Mounted Display,,
1057,27,Journal,When Tangibles become Deformable: Studying Pseudo-Stiffness Perceptual Thresholds in a VR Grasping Task,,
1250,28,Conference,"iARVis: Mobile AR Based Declarative Information Visualization Authoring, Exploring and Sharing",,
1278,28,Conference,Comparing Scatterplot Variants for Temporal Trends Visualization in Immersive Virtual Environments,,
1630,28,Journal,Text Input for Non-Stationary XR Workspaces: Investigating Tap and Word-Gesture Keyboards in Virtual and Augmented Reality,,
1093,28,Journal,CrowbarLimbs: A Fatigue-Reducing Virtual Reality Text Entry Metaphor,,
1820,28,Journal,I Can&#39;t See That! Considering the Readability of Small Objects in Virtual Environments,,
